id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	academic background	-0.7943	-0.4266	4	19	47	2	2020.5
2	academic failure	-0.014	-0.1839	3	18	83	5	2019.4
3	academic performance prediction	0.863	-0.3378	5	35	49	4	2020
4	active learning methodology	1.0993	0.0726	3	4	10	2	2017
5	addition	-0.0781	-0.3403	6	15	24	2	2021
6	additional assistance	-0.4488	0.15	1	19	36	2	2018.5
7	admission score	0.9947	-0.086	3	8	26	2	2017
8	advantage	-0.6013	0.3469	1	33	63	3	2019.6667
9	age	0.882	-0.6121	5	27	54	3	2019.3333
10	ann	0.3159	-0.3005	3	4	12	3	2021
11	art method	0.1073	0.3165	10	12	20	2	2020
12	artificial intelligence technique	0.7114	-0.4358	3	10	12	2	2020.5
13	assignment	-0.5359	0.2151	11	22	74	5	2019.6
14	associative model	-0.8048	0.2416	11	5	16	2	2021
15	attendance	-0.4326	-0.2537	6	27	83	8	2019.875
16	attendance percentage	-1.3505	-1.0121	4	6	20	2	2020
17	auc	-0.893	-0.4855	4	20	129	4	2020.75
18	bangladeshi university student	-0.9517	-0.5272	4	17	84	2	2021
19	best prediction result	0.925	-0.8218	5	22	47	2	2020
20	best result	-0.4896	0.4908	1	22	78	2	2021
21	better result	0.6842	0.2949	9	33	54	3	2018.6667
22	big data analytic	0.0745	-0.0494	2	17	25	2	2018
23	big data technique	0.0736	0.2212	7	10	15	3	2018.6667
24	certain academic discipline	0.9769	0.5005	9	5	16	2	2019
25	clasificacion	0.5716	-1.1363	2	1	1	2	2020.5
26	classification accuracy	-1.3488	-1.0116	4	6	20	2	2020
27	classification algorithm	0.5255	0.5759	9	25	36	3	2018.6667
28	classification rule	1.0288	0.2069	8	10	15	2	2018
29	classification tree	-0.1239	0.2376	7	15	25	3	2019
30	classroom	0.0623	0.262	2	26	44	3	2019
31	classroom learning	-0.0543	0.6914	10	14	62	4	2021
32	cluster	-0.7979	-0.2348	7	10	32	5	2020.6
33	clustering	-0.5421	-0.1024	7	20	42	5	2019.6
34	co curricular activity	-0.4458	0.5318	11	5	36	6	2021
35	coefficient	-0.1652	-0.0303	2	22	36	2	2019
36	cognitive ability	-0.3106	0.1814	7	9	24	2	2021
37	cohort mathematics	0.9347	-0.823	5	22	47	2	2020
38	college student	-0.6985	0.5501	12	16	26	2	2019
39	colombian nation wide university admission exam	0.9283	-0.8197	5	22	47	2	2020
40	comprehensive analysis	-0.1755	0.0339	2	17	22	2	2020.5
41	confusion matrix	-0.8608	-0.6319	4	22	51	2	2020
42	conventional statistical evaluation	-0.6871	-0.7843	6	6	14	2	2019
43	correlation	-0.4377	0.2483	11	19	53	5	2019.8
44	counselling	0.1531	0.2233	10	9	66	6	2019
45	course achievement	-0.5203	0.3604	1	10	65	5	2017
46	course length	-0.4707	0.4739	1	22	114	3	2021
47	cross validation	0.1925	-0.0271	10	28	53	5	2019
48	data analytics technique	-0.4707	0.5257	1	10	40	2	2018
49	data mining tool	1.0289	0.2054	8	10	15	2	2018
50	data source	0.2313	0.167	3	11	24	3	2019
51	decision tree algorithm	0.7371	0.2792	8	14	23	3	2019
52	decision trees	0.9559	0.1772	8	13	16	2	2017.5
53	deep learning	-0.2583	0.0875	2	40	111	6	2021
54	degree student	0.9709	-0.0848	3	8	36	3	2017
55	demographic data	-0.4603	0.1196	7	23	33	3	2020
56	distance	-0.4409	-0.297	6	19	43	3	2020.6667
57	distance higher education	1.0995	0.0737	3	4	10	2	2017
58	early identification	0.9426	-0.2107	3	13	17	2	2018.5
59	early prediction	0.3563	0.008	3	30	57	4	2018
60	early stage	0.1641	-0.0416	2	26	55	4	2020.25
61	edm study	0.0461	0.7552	10	9	36	2	2021
62	educational data mining technique	0.3756	0.215	3	16	50	3	2017
63	educational database	0.5349	0.5542	8	12	18	2	2017
64	educational dataset	0.8167	0.8146	9	13	40	2	2018
65	educational process	-0.7616	0.2987	12	15	20	2	2020.5
66	educational program	-0.7887	-0.194	7	14	20	2	2020.5
67	educational setting	0.5266	0.4612	9	26	44	3	2019.6667
68	effectiveness	0.3725	0.1176	3	29	122	10	2017.7
69	engineering student	0.5389	-0.4862	5	44	100	7	2020
70	enrollment	-0.5789	-0.2163	7	16	25	3	2019.6667
71	ensemble model	-0.3396	-0.3445	6	17	62	5	2020.8
72	entrance mark	0.9955	-0.0882	3	8	26	2	2017
73	error	0.1083	-0.336	2	26	42	4	2019.5
74	examination	0.7621	0.606	9	20	36	4	2019.25
75	experimental result	0.0606	0.3406	1	37	65	3	2019.6667
76	exploitation	0.9585	0.2518	3	9	12	2	2017
77	extracurricular activity	-0.484	0.5805	11	5	20	2	2021
78	f score	-0.4482	0.5804	1	27	95	3	2020.3333
79	failure	-0.1292	0.0362	2	27	71	5	2020.8
80	failure rate	0.3987	0.0335	3	8	38	2	2017
81	family expenditure	0.7688	0.4427	8	5	10	2	2017
82	feature selection	0.821	0.8113	9	13	40	2	2018
83	feature selection algorithm	0.8187	0.8106	9	13	40	2	2018
84	filter feature selection algorithm	0.8168	0.8122	9	13	40	2	2018
85	final exam	0.2478	-0.2167	3	22	36	3	2018.3333
86	final gpa	1.0832	0.2789	8	7	16	2	2017
87	first year student	-0.491	-0.2197	7	14	26	4	2019
88	fs algorithm	0.8209	0.8137	9	13	40	2	2018
89	further research	-0.4861	0.5279	1	11	22	2	2019.5
90	fuzzy genetic algorithm	0.9977	-0.0871	3	8	26	2	2017
91	gender	0.6007	-0.6546	5	39	127	7	2020.2857
92	good prediction	-0.5006	-0.5794	6	17	25	2	2020
93	got	-0.3858	0.8734	1	8	32	2	2019
94	gradiente	0.3478	-0.788	2	7	24	2	2021
95	graduate	-0.3681	0.8438	1	8	56	4	2019
96	hei	-0.1271	0.624	12	6	14	2	2020
97	high accuracy	-0.9161	-0.1411	7	10	15	2	2021
98	ibk	0.1677	0.2369	10	9	30	2	2019
99	icfes score	0.8977	-0.793	5	22	90	4	2020
100	identification	-0.097	0.3224	10	18	30	3	2019.6667
101	imaging sensor	-0.8259	0.6988	12	6	16	2	2021
102	individual student	-0.0584	0.375	3	2	4	2	2019
103	industrial engineering undergraduate student	0.9268	-0.8274	5	22	47	2	2020
104	influence	-0.7173	0.5755	12	14	27	3	2020.6667
105	influential factor	0.7854	-0.4445	3	9	20	2	2020
106	input variable	-0.4859	-0.4548	6	19	51	4	2019.5
107	integrated system	-0.6574	-0.1493	6	9	20	2	2020
108	interest	-0.1373	0.5311	1	37	114	6	2020
109	internal mark	0.9966	-0.085	3	8	26	2	2017
110	international student	-1.3338	-1	4	6	27	3	2020
111	interpretability	-0.7544	0.1449	11	11	22	3	2020.6667
112	intervention	-0.4331	0.3103	1	39	97	4	2019.5
113	introductory programming course	0.3743	0.0327	3	8	68	4	2017
114	issue	-0.1531	0.0535	2	18	47	4	2019.75
115	k fold	-0.3869	0.8752	1	8	32	2	2019
116	k fold accuracy	-0.9277	-0.5131	4	17	123	3	2021
117	k nearest neighbor	0.4691	-0.3673	5	46	103	6	2020.3333
118	k nn	-0.2183	0.186	7	13	29	3	2020.3333
119	knowledge	0.8387	-0.17	3	20	28	3	2019
120	knowledge level	-0.3108	0.1828	7	9	24	2	2021
121	lack	0.3396	0.6282	8	8	22	2	2017
122	las universidade	0.3464	-0.7898	2	7	24	2	2021
123	learning management systems	-0.4867	0.5082	1	28	61	2	2019.5
124	learning performance	-0.3942	0.3651	1	19	34	2	2019.5
125	learning problem	0.3456	-0.7878	2	7	24	2	2021
126	lifestyle	-0.9097	-0.451	4	22	48	3	2019.6667
127	light	0.819	0.8154	9	13	40	2	2018
