id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
3	academic performance	0.8422	-0.001	5	16	26	10	2019.6
7	analytics of data	1.3183	0.2958	8	4	8	2	2020
12	artificial intelligence	0.5194	-0.2809	3	4	4	2	2020.5
16	artificial neural networks	-0.3068	-0.4338	7	8	9	2	2020
17	at-risk students	-0.0951	0.6197	6	6	7	3	2019.3333
33	classification	-0.5769	0.2304	4	13	27	7	2019.7143
40	classifiers	0.5396	-0.3737	3	4	4	2	2019
51	data analytics	-1.0209	0.6038	4	6	12	2	2019
53	data mining	-0.5476	0.0244	2	19	34	11	2019.5455
62	decision tree	0.0073	0.184	2	11	14	6	2019.3333
63	decision trees	0.6846	0.2748	5	3	3	2	2019.5
64	deep learning	-0.1835	-0.4155	7	10	13	4	2020
72	dropout	-0.4477	-0.2063	7	11	12	2	2020
78	education	0.3855	-0.1828	3	4	5	3	2020.3333
83	educational data mining	0.0375	-0.5304	1	16	27	17	2019.4706
84	educational data mining (edm)	0.4987	0.8389	9	1	1	2	2018
87	engineering education	1.24	0.2535	8	4	8	2	2020
105	higher education	-0.3958	-0.0763	2	11	16	5	2019.6
119	k-fold cross validation	-0.9099	0.5148	4	6	12	2	2019
121	k-means clustering	-0.2158	-0.9518	1	3	3	2	2019
126	lda	-1.0231	0.4851	4	6	12	2	2019
129	learning analytics	-0.1928	0.3554	6	7	11	8	2019.25
135	logistic regression	0.6045	0.2593	5	3	3	2	2020.5
136	machine learning	0.2153	0.3189	9	27	63	28	2019.75
142	minería de datos	-0.7152	-0.0597	2	7	7	2	2020.5
143	model	1.2401	0.3502	8	4	8	2	2020
156	neural networks	1.0887	-0.221	5	2	2	2	2019.5
159	online learning	-0.1898	0.5352	6	2	3	2	2017.5
161	pca	-0.9056	0.6318	4	6	12	2	2019
164	performance prediction	-0.3363	-0.658	1	5	8	5	2019.2
172	prediction	0.0036	-0.2834	3	19	30	10	2020
177	predictive model	-0.0328	0.7588	6	4	6	3	2020.3333
178	predictive models	1.012	-0.2348	5	4	5	2	2020
183	random forest	0.0141	0.6681	6	4	4	2	2021
191	repo/ocde/ford#2.02.04	-0.8401	-0.0622	2	2	2	2	2021
203	student academic performance	-0.2684	-0.9191	1	3	3	2	2019.5
208	student performance	-0.2244	-0.778	1	6	9	5	2019.6
211	student success	-0.4878	-0.4997	1	4	4	3	2020
217	students’ performance	0.1788	-0.6857	3	2	2	2	2020
223	supervised learning	-0.257	-0.2267	7	9	10	4	2020.25
235	unsupervised learning	-0.2622	-0.1369	7	8	9	2	2020.5
239	weka	0.0052	0.0147	2	4	4	2	2019
